Journal identity,5-year journal impact factor,Year published,Volume,Issue,Authors,Collection date,Publication date,Number of tweets,Number of users,Twitter reach,Number of Web of Science citations
Evolution,5.251,2013,67,4,Alizon et al,3/29/2016,11/16/2012,0,0,0,7
Evolution,5.251,2013,67,3,Niemiller et al,3/29/2016,11/6/2012,3,3,2654,9
Evolution,5.251,2013,67,3,Derex et al,3/29/2016,10/5/2012,1,1,368,5
Evolution,5.251,2013,67,3,Archer et al,3/29/2016,10/10/2012,1,1,1361,8
Evolution,5.251,2013,67,2,Harrington et al,3/29/2016,10/11/2012,2,2,3440,4
Evolution,5.251,2013,67,2,Hardenberg et al,3/29/2016,9/24/2012,16,14,23836,7
Evolution,5.251,2013,67,2,Nuismer,3/29/2016,10/5/2012,2,2,1359,16
Evolution,5.251,2013,67,1,Glemin and Romfort,3/29/2016,9/7/2012,3,3,6896,32
Evolution,5.251,2013,67,1,Wilson et al,3/29/2016,8/10/2012,0,0,0,6
Evolution,5.251,2013,67,1,Bullaughy,3/29/2016,8/6/2012,0,0,0,2
Evolution,5.251,2012,66,12,Moe and Weiblen,3/29/2016,7/25/2012,0,0,0,8
Evolution,5.251,2012,66,12,Golberg and Igic,3/29/2016,8/2/2012,5,5,6470,53
Evolution,5.251,2012,66,12,Weeks,3/29/2016,7/7/2012,0,0,0,22
Evolution,5.251,2012,66,11,Dowdall et al,3/29/2016,6/11/2012,3,3,5120,40
Evolution,5.251,2012,66,11,Navarro et al,3/29/2016,6/17/2012,2,1,608,22
Evolution,5.251,2012,66,11,Kellerman et al,3/29/2016,5/28/2012,1,1,392,66
Evolution,5.251,2012,66,10,Grossen et al,3/29/2016,5/5/2012,0,0,0,11
Evolution,5.251,2012,66,10,Archer et al,3/29/2016,5/14/2012,0,0,0,9
Evolution,5.251,2012,66,10,Garnier et al,3/29/2016,5/4/2012,2,2,5113,11
Evolution,5.251,2012,66,9,Takahashi et al,3/29/2016,5/3/2012,0,0,0,5
Evolution,5.251,2012,66,9,Camargo et al,3/29/2016,5/18/2012,1,1,711,60
Evolution,5.251,2012,66,9,Bailey and Moore,3/29/2016,5/11/2012,0,0,0,23
Evolution,5.251,2012,66,8,Santana et al,3/29/2016,4/5/2012,0,0,0,16
Evolution,5.251,2012,66,8,Mondo et al,3/29/2016,3/27/2012,3,3,4873,9
Evolution,5.251,2012,66,8,Bryner and Ringling,3/29/2016,4/22/2012,0,0,0,6
Evolution,5.251,2012,66,7,Ram and Hadany,3/29/2016,2/28/2012,4,3,3326,22
Evolution,5.251,2012,66,7,Stelbrink et al,3/29/2016,2/21/2012,1,1,708,32
Evolution,5.251,2012,66,7,Choleva et al,3/29/2016,3/3/2012,0,0,0,32
Evolution,5.251,2012,66,6,Cabezas et al,3/29/2016,3/4/2012,0,0,0,9
Evolution,5.251,2012,66,6,Rabosky et al,3/29/2016,2/3/2012,2,2,5666,33
Evolution,5.251,2012,66,6,Baets et al,3/29/2016,2/14/2012,4,3,9216,23
Evolution,5.251,2012,66,5,Ubeda and Gardner,3/29/2016,12/16/2011,0,0,0,14
Evolution,5.251,2012,66,5,Singhal and Moritz,3/29/2016,1/13/2012,1,1,0,16
Evolution,5.251,2012,66,5,Charney,3/29/2016,12/29/2011,0,0,0,5
Evolution,5.251,2012,66,4,Carpenter et al,3/29/2016,12/6/2011,0,0,0,6
Evolution,5.251,2012,66,4,Smith et al,3/29/2016,11/18/2011,1,1,0,15
Evolution,5.251,2012,66,4,Jordan and Otto,3/29/2016,2/15/2011,0,0,0,9
Evolution,5.251,2012,66,3,Hangartner et al,3/29/2016,11/23/2011,0,0,0,18
Evolution,5.251,2012,66,3,Li et al,3/29/2016,12/16/2011,0,0,0,19
Evolution,5.251,2012,66,3,Wu,3/29/2016,11/2/2011,1,1,197,38
Evolution,5.251,2012,66,2,Finn et al,3/29/2016,9/25/2011,1,1,371,39
Evolution,5.251,2012,66,2,Kimmel et al,3/29/2016,9/25/2011,0,0,0,16
Evolution,5.251,2012,66,2,Nguyn et al,3/29/2016,9/20/2011,0,0,0,10
Evolution,5.251,2012,66,1,Pyron et al,3/29/2016,9/2/2011,3,3,8516,52
Evolution,5.251,2012,66,1,Chandler et al,3/29/2016,9/8/2011,0,0,0,5
Evolution,5.251,2012,66,1,Immler et al,3/29/2016,7/25/2012,0,0,0,6
Animal Conservation,3.206,2014,17,6,Maree et al.,2/9/2016,4/29/2014,118,101,222983,4
Animal Conservation,3.206,2014,17,6,Douglas et al.,2/9/2016,4/1/2014,11,11,19436,2
Animal Conservation,3.206,2014,17,6,Jellinek et al.,2/9/2016,4/10/2014,1,1,69,0
Animal Conservation,3.206,2014,17,6,Grilo et al.,2/9/2016,4/1/2014,8,8,14699,2
Animal Conservation,3.206,2014,17,6,Polak et al.,2/9/2016,4/10/2014,1,1,1812,0
Animal Conservation,3.206,2014,17,6,Plavsic,2/9/2016,4/17/2014,9,9,12822,2
Animal Conservation,3.206,2014,17,6,Jochimsen et al.,2/9/2016,4/30/2014,3,3,2911,0
Animal Conservation,3.206,2014,17,6,Stokes et al.,2/9/2016,4/30/2014,11,11,81377,2
Animal Conservation,3.206,2014,17,6,Kiffner et al.,2/9/2016,4/30/2014,5,5,6234,2
Animal Conservation,3.206,2014,17,Supplement 1,Dade et al.,2/11/2016,7/9/2014,5,5,6961,4
Animal Conservation,3.206,2014,17,Supplement 1,Knox and Monks,2/11/2016,11/13/2014,1,1,206,3
Animal Conservation,3.206,2014,17,Supplement 1,Aiello et al.,2/11/2016,11/13/2014,9,8,10835,5
Animal Conservation,3.206,2014,17,Supplement 1,Burton and Rivera-Milan,2/11/2016,8/20/2014,1,1,2528,1
Animal Conservation,3.206,2014,17,Supplement 1,Jarvie et al.,2/11/2016,11/13/2014,0,0,0,2
Animal Conservation,3.206,2014,17,Supplement 1,McCoy et al.,2/11/2016,11/13/2014,0,0,0,2
Animal Conservation,3.206,2014,17,Supplement 1,Sacerdote-Velat et al.,2/11/2016,11/13/2014,0,0,0,2
Animal Conservation,3.206,2014,17,Supplement 1,Ewen et al.,2/11/2016,11/13/2014,11,9,8823,5
Animal Conservation,3.206,2014,17,5,Kehinde and Samways,2/11/2016,4/10/2014,3,3,4429,0
Animal Conservation,3.206,2014,17,5,Zuberogoitia et al.,2/11/2016,2/26/2014,17,13,24653,1
Animal Conservation,3.206,2014,17,5,Major et al.,2/11/2016,2/25/2014,12,11,26529,3
Animal Conservation,3.206,2014,17,5,Mateo-Sánchez et al.,2/11/2016,2/26/2014,7,6,10581,2
Animal Conservation,3.206,2014,17,5,Trimble and van Aarde,2/11/2016,3/19/2014,2,2,27901,1
Animal Conservation,3.206,2014,17,5,Kajtoch et al.,2/11/2016,3/19/2014,1,1,3084,1
Animal Conservation,3.206,2014,17,5,McGregor et al.,2/11/2016,3/13/2014,13,12,14691,0
Animal Conservation,3.206,2014,17,5,O'Connell-Goode et al.,2/11/2016,3/26/2014,5,5,38491,1
Animal Conservation,3.206,2014,17,5,Keeping,2/11/2016,3/26/2014,2,2,3545,3
Animal Conservation,3.206,2014,17,5,Kole?ek et al.,2/11/2016,3/26/2014,21,17,25297,2
Animal Conservation,3.206,2014,17,4,Hazin and Afonso,2/11/2016,11/28/2013,34,28,74150,6
Animal Conservation,3.206,2014,17,4,Davies et al.,2/11/2016,11/21/2013,56,40,90571,1
Animal Conservation,3.206,2014,17,4,Sato et al.,2/11/2016,12/4/2013,6,6,6199,2
Animal Conservation,3.206,2014,17,4,Imong et al.,2/11/2016,12/19/2013,11,11,22213,2
Animal Conservation,3.206,2014,17,4,Jeppsson and Forslund,2/11/2016,1/7/2014,7,5,5486,2
Animal Conservation,3.206,2014,17,4,Bouget et al.,2/11/2016,1/14/2014,2,2,4468,7
Animal Conservation,3.206,2014,17,4,Bennett and Hale,2/11/2016,2/12/2014,4,4,5994,7
Animal Conservation,3.206,2014,17,4,Lovari et al.,2/11/2016,5/13/2014,5,5,5748,5
Animal Conservation,3.206,2014,17,4,Zarco-González and Monroy-Vilchis,2/11/2016,5/13/2014,15,14,18478,2
Animal Conservation,3.206,2014,17,4,Hammer et al.,2/11/2016,4/22/2014,2,2,5512,1
Animal Conservation,3.206,2014,17,4,Sánchez-Mercado et al.,2/11/2016,2/26/2014,23,22,199558,1
Animal Conservation,3.206,2014,17,3,Jachowski et al.,2/11/2016,10/15/2013,19,16,33693,1
Animal Conservation,3.206,2014,17,3,Bradley et al.,2/11/2016,10/15/2013,6,6,29924,0
Animal Conservation,3.206,2014,17,3,Brodier et al.,2/11/2016,10/23/2013,26,24,89716,2
Animal Conservation,3.206,2014,17,3,Foster and Arreguin-Sánchez,2/11/2016,10/10/2013,2,2,5941,0
Animal Conservation,3.206,2014,17,3,Dharmarajan et al.,2/11/2016,11/28/2013,1,1,3068,2
Animal Conservation,3.206,2014,17,3,Reimer et al.,2/11/2016,10/22/2013,17,17,27504,2
Animal Conservation,3.206,2014,17,3,Vásquez-Carrillo et al.,2/11/2016,11/21/2013,2,2,21191,3
Animal Conservation,3.206,2014,17,3,Douglas et al.,2/11/2016,12/13/2013,21,19,69026,0
Animal Conservation,3.206,2014,17,3,Richter and Nunziata,2/11/2016,11/5/2013,12,10,6324,1
Animal Conservation,3.206,2014,17,3,Peterman et al.,2/11/2016,11/6/2013,10,10,33449,8
Animal Conservation,3.206,2014,17,2,Martin et al.,2/11/2016,8/29/2013,36,33,42113,4
Animal Conservation,3.206,2014,17,2,Hendrick,2/11/2016,6/11/2013,6,5,9872,2
Animal Conservation,3.206,2014,17,2,Menard et al.,2/11/2016,6/18/2013,8,7,29558,4
Animal Conservation,3.206,2014,17,2,Rout et al.,2/11/2016,8/29/2013,27,23,53340,5
Animal Conservation,3.206,2014,17,2,Bejarano Chavarro et al.,2/11/2016,8/29/2013,2,2,3199,1
Animal Conservation,3.206,2014,17,2,Halstead et al.,2/11/2016,8/22/2013,3,3,10572,1
Animal Conservation,3.206,2014,17,2,Muller et al.,2/11/2016,10/17/2013,11,12,22639,6
Animal Conservation,3.206,2014,17,2,Edwards et al.,2/11/2016,10/9/2013,20,18,22875,11
Animal Conservation,3.206,2014,17,2,Williams et al.,2/11/2016,10/22/2013,343,183,598088,7
Animal Conservation,3.206,2014,17,1,Senko et al.,2/12/2016,5/23/2013,28,21,37989,4
Animal Conservation,3.206,2014,17,1,Granadeiro et al.,2/12/2016,6/6/2013,10,8,26619,6
Animal Conservation,3.206,2014,17,1,Buckley et al.,2/12/2016,5/16/2013,16,15,18652,1
Animal Conservation,3.206,2014,17,1,Ameca y Juárez et al.,2/12/2016,5/17/2013,13,10,20585,2
Animal Conservation,3.206,2014,17,1,Ghanem and Voigt,2/12/2016,5/21/2013,3,3,2139,0
Animal Conservation,3.206,2014,17,1,Monadjem et al.,2/12/2016,5/21/2013,1,1,7511,0
Animal Conservation,3.206,2014,17,1,Augé et al.,2/12/2016,5/23/2013,5,5,32781,3
Animal Conservation,3.206,2014,17,1,Breininger et al.,2/12/2016,6/4/2013,3,3,5051,1
Animal Conservation,3.206,2014,17,1,Bro-Jørgensen,2/12/2016,6/6/2013,3,3,5901,0
Animal Conservation,3.206,2013,16,6,Bilski et al.,3/11/2016,4/25/2013,1,1,3172,1
Animal Conservation,3.206,2013,16,6,Baker et al.,3/11/2016,3/21/2013,2,2,4247,3
Animal Conservation,3.206,2013,16,6,Doxa et al.,3/11/2016,5/24/2013,7,5,16910,3
Animal Conservation,3.206,2013,16,5,Walker et al.,3/11/2016,1/31/2013,7,6,37781,6
Animal Conservation,3.206,2013,16,5,Pellissier et al.,3/11/2016,2/7/2013,23,20,57195,4
Animal Conservation,3.206,2013,16,5,Cianfrani et al.,3/11/2016,3/19/2013,2,2,4761,5
Animal Conservation,3.206,2013,16,4,D'Amen et al.,3/11/2016,1/11/2013,2,3,15047,14
Animal Conservation,3.206,2013,16,4,Ohmer et al.,3/11/2016,12/13/2012,2,2,15047,3
Animal Conservation,3.206,2013,16,4,Española et al.,3/11/2016,1/31/2013,2,2,3442,2
Animal Conservation,3.206,2013,16,3,Suárez et al.,3/11/2016,9/25/2012,5,5,26974,7
Animal Conservation,3.206,2013,16,3,Rosa et al.,3/11/2016,11/13/2012,4,4,16141,4
Animal Conservation,3.206,2013,16,3,Zeisset and Beebee,3/11/2016,11/8/2012,4,4,17563,3
Animal Conservation,3.206,2013,16,2,Chauvenet et al.,3/11/2016,9/7/2012,30,17,54968,10
Animal Conservation,3.206,2013,16,2,Nowakowski et al.,3/11/2016,8/14/2012,3,3,9261,12
Animal Conservation,3.206,2013,16,2,Baker et al.,3/11/2016,8/29/2012,5,4,30441,4
Animal Conservation,3.206,2013,16,1,Butler et al.,3/11/2016,8/28/2012,5,4,23257,2
Animal Conservation,3.206,2013,16,1,Somaweera et al.,3/11/2016,7/31/2012,1,1,3147,7
Animal Conservation,3.206,2013,16,1,Kiffner et al.,3/11/2016,7/17/2012,0,0,0,8
Animal Conservation,3.206,2012,15,6,Pizzatto and Shine,3/11/2016,6/26/2012,2,2,3608,8
Animal Conservation,3.206,2012,15,6,Clostio et al.,3/11/2016,6/14/2012,3,3,27153,6
Animal Conservation,3.206,2012,15,6,Gopalaswamy et al.,3/11/2016,6/21/2012,5,4,8022,9
Animal Conservation,3.206,2012,15,5,Keane et al.,3/11/2016,7/6/2012,10,7,32650,8
Animal Conservation,3.206,2012,15,5,Wanless et al.,3/11/2016,5/8/2012,9,7,42878,13
Animal Conservation,3.206,2012,15,5,Noss et al.,3/11/2016,4/18/2012,1,1,3172,25
Animal Conservation,3.206,2012,15,4,Walsh et al.,3/11/2016,4/10/2012,15,14,63152,20
Animal Conservation,3.206,2012,15,4,Marco et al.,3/11/2016,4/17/2012,1,1,3147,16
Animal Conservation,3.206,2012,15,4,Northrup et al.,3/11/2016,3/1/2012,2,2,3465,15
Animal Conservation,3.206,2012,15,3,Molinari-Jobin et al.,3/11/2016,12/6/2011,0,0,0,12
Animal Conservation,3.206,2012,15,3,McPhee and McPhee,3/11/2016,2/23/2012,2,2,8959,1
Animal Conservation,3.206,2012,15,3,Bateman and Ostoja,3/11/2016,1/24/2012,1,1,7058,14
Animal Conservation,3.206,2012,15,2,Tanadini et al.,3/11/2016,12/9/2011,0,0,0,5
Animal Conservation,3.206,2012,15,2,Akmentins et al.,3/11/2016,10/13/2011,1,0,0,1
Animal Conservation,3.206,2012,15,2,Somaweera and Shine,3/11/2016,11/15/2011,1,1,3147,7
Animal Conservation,3.206,2012,15,1,Palazy et al.,3/11/2016,7/7/2011,9,8,35853,17
Animal Conservation,3.206,2012,15,1,Say et al.,3/11/2016,8/25/2011,0,0,0,10
Animal Conservation,3.206,2012,15,1,Deem et al.,3/11/2016,12/7/2011,5,5,30942,2
Methods in Ecology and Evolution,7.393,2014,5,12,Conn et al.,3/16/2016,11/29/2013,2,2,9890,5
Methods in Ecology and Evolution,7.393,2014,5,12,Thorup et al.,3/16/2016,10/27/2014,27,22,76164,2
Methods in Ecology and Evolution,7.393,2014,5,12,Chandler and Clark,3/16/2016,1/23/2014,15,13,16872,10
Methods in Ecology and Evolution,7.393,2014,5,11,Laitila et al.,3/16/2016,11/29/2014,5,5,2265,4
Methods in Ecology and Evolution,7.393,2014,5,11,Borrett and Lau,3/16/2016,10/27/2014,12,12,22727,4
Methods in Ecology and Evolution,7.393,2014,5,11,Muscarella et al.,3/16/2016,9/25/2014,25,24,23386,4
Methods in Ecology and Evolution,7.393,2014,5,10,Pedersen et al.,3/16/2016,9/22/2014,2,2,9143,0
Methods in Ecology and Evolution,7.393,2014,5,10,Lindfield et al.,3/16/2016,9/25/2014,51,46,108608,3
Methods in Ecology and Evolution,7.393,2014,5,10,Galpern et al.,3/16/2016,8/27/2014,17,15,14416,0
Methods in Ecology and Evolution,7.393,2014,5,9,Kamal et al.,3/16/2016,7/30/2014,18,18,15377,1
Methods in Ecology and Evolution,7.393,2014,5,9,Koons et al.,3/16/2016,8/28/2014,3,3,10914,1
Methods in Ecology and Evolution,7.393,2014,5,9,Halbedel and Büttner,3/16/2016,7/23/2014,1,1,419,0
Methods in Ecology and Evolution,7.393,2014,5,8,Manceur and Kühn,3/16/2016,7/16/2014,7,7,12064,1
Methods in Ecology and Evolution,7.393,2014,5,8,Maher et al.,3/16/2016,7/23/2014,11,9,13763,1
Methods in Ecology and Evolution,7.393,2014,5,8,Dapporto et al.,3/16/2016,7/14/2014,5,4,9705,2
Methods in Ecology and Evolution,7.393,2014,5,7,Tenan et al.,3/16/2016,5/21/2014,8,6,18526,3
Methods in Ecology and Evolution,7.393,2014,5,7,Koen et al.,3/16/2016,5/10/2014,11,10,12714,6
Methods in Ecology and Evolution,7.393,2014,5,7,Pavoine and Ricotta,3/16/2016,5/10/2014,2,2,9227,4
Methods in Ecology and Evolution,7.393,2014,5,6,Howard et al.,3/16/2016,5/10/2014,22,17,17254,10
Methods in Ecology and Evolution,7.393,2014,5,6,Finley et al.,3/16/2016,5/10/2014,4,4,2733,0
Methods in Ecology and Evolution,7.393,2014,5,6,Bennie et al.,3/16/2016,4/29/2014,13,9,16443,3
Methods in Ecology and Evolution,7.393,2014,5,5,Shyu and Caswell,3/29/2016,5/19/2014,2,1,8863,0
Methods in Ecology and Evolution,7.393,2014,5,5,Strebel et al,3/29/2016,5/19/2014,9,9,21269,0
Methods in Ecology and Evolution,7.393,2014,5,5,Bornand et al,3/29/2016,3/28/2014,14,13,27937,2
Methods in Ecology and Evolution,7.393,2014,5,4,Bontempo et al,3/29/2016,3/24/2014,8,7,21726,0
Methods in Ecology and Evolution,7.393,2014,5,4,Brown et al,3/29/2016,4/9/2014,24,22,36327,0
Methods in Ecology and Evolution,7.393,2014,5,4,Yin and He,3/29/2016,2/10/2014,12,11,15774,0
Methods in Ecology and Evolution,7.393,2014,5,3,Foster et al,3/29/2016,1/30/2014,1,1,336,0
Methods in Ecology and Evolution,7.393,2014,5,3,Potts et al,3/29/2016,1/17/2014,6,6,17891,0
Methods in Ecology and Evolution,7.393,2014,5,3,Andujar et al,3/29/2016,1/28/2014,5,5,10492,0
Methods in Ecology and Evolution,7.393,2014,5,2,Cornwell et al,3/29/2016,1/20/2014,6,5,10632,0
Methods in Ecology and Evolution,7.393,2014,5,2,Milot et al,3/29/2016,1/20/2014,4,4,15657,0
Methods in Ecology and Evolution,7.393,2014,5,2,Rocaforet et al,3/29/2016,2/13/2014,3,3,9000,0
Methods in Ecology and Evolution,7.393,2014,5,1,Royle and Converse,3/29/2016,12/5/2013,4,4,10965,0
Methods in Ecology and Evolution,7.393,2014,5,1,Whitehead and Gero,3/29/2016,12/18/2013,15,14,18585,0
Methods in Ecology and Evolution,7.393,2014,5,1,Kitzes and Harte,3/29/2016,12/13/2013,11,10,26515,0
Methods in Ecology and Evolution,7.393,2013,4,12,Farine,3/29/2016,11/22/2013,13,11,20774,0
Methods in Ecology and Evolution,7.393,2013,4,12,Jones et al,3/29/2016,10/31/2013,24,22,90369,0
Methods in Ecology and Evolution,7.393,2013,4,12,Geddes et al,3/29/2016,11/30/2013,6,7,11528,0
Methods in Ecology and Evolution,7.393,2013,4,11,Klein et al,3/29/2016,10/21/2013,0,0,0,0
Methods in Ecology and Evolution,7.393,2013,4,11,Solymos et al,3/29/2016,9/14/2013,8,8,12589,0
Methods in Ecology and Evolution,7.393,2013,4,11,Ahlinder et al,3/29/2016,10/18/2013,7,8,12875,0
Methods in Ecology and Evolution,7.393,2013,4,10,Grosiord et al,3/29/2016,8/9/2013,5,5,11155,0
Methods in Ecology and Evolution,7.393,2013,4,10,Hawke et al,3/29/2016,8/16/2013,2,2,9205,0
Methods in Ecology and Evolution,7.393,2013,4,10,Maia,3/29/2016,8/1/2013,28,25,35923,0
Methods in Ecology and Evolution,7.393,2013,4,9,Zhao et al,3/29/2016,8/14/2013,4,4,9872,0
Methods in Ecology and Evolution,7.393,2013,4,9,Barbour et al,3/29/2016,5/14/2013,2,2,10058,0
Methods in Ecology and Evolution,7.393,2013,4,9,Kendall et al,3/29/2016,8/27/2013,4,4,12743,0
Methods in Ecology and Evolution,7.393,2013,4,8,Keenan et al,3/29/2016,8/9/2013,12,10,16182,0
Methods in Ecology and Evolution,7.393,2013,4,8,Taylor et al,3/29/2016,6/7/2013,13,12,18423,0
Methods in Ecology and Evolution,7.393,2013,4,8,Revell et al,3/29/2016,6/17/2013,12,12,18385,0
Methods in Ecology and Evolution,7.393,2013,4,7,Jabot et al,3/29/2016,4/8/2013,11,11,15278,0
Methods in Ecology and Evolution,7.393,2013,4,7,Digby et al,3/29/2016,5/16/2013,5,5,26924,0
Methods in Ecology and Evolution,7.393,2013,4,7,Gjelland et al,3/29/2016,5/13/2013,11,10,26137,0
Methods in Ecology and Evolution,7.393,2013,4,6,Rebaudo et al,3/29/2016,2/18/2013,6,6,31297,0
Methods in Ecology and Evolution,7.393,2013,4,6,Baselga,3/29/2016,1/31/2013,6,5,10763,0
Methods in Ecology and Evolution,7.393,2013,4,6,Royle et al,3/29/2016,3/7/2013,2,2,9276,0
Methods in Ecology and Evolution,7.393,2013,4,5,Pouzols and Moilanen,3/29/2016,3/14/2013,10,10,32591,0
Methods in Ecology and Evolution,7.393,2013,4,5,Ingram and Mahler,3/29/2016,3/1/2013,11,10,16648,0
Methods in Ecology and Evolution,7.393,2013,4,5,Hernandez et al,3/29/2016,2/19/2013,13,13,36481,0
Methods in Ecology and Evolution,7.393,2013,4,4,Beck et al,3/29/2016,1/25/2013,3,3,10421,0
Methods in Ecology and Evolution,7.393,2013,4,4,Ulyshen and Wagner,3/29/2016,3/6/2013,2,2,9890,0
Methods in Ecology and Evolution,7.393,2013,4,4,Mortier et al,3/29/2016,12/21/2012,4,4,17743,0
Methods in Ecology and Evolution,7.393,2013,4,3,Benson,3/29/2016,11/21/2012,0,0,0,0
Methods in Ecology and Evolution,7.393,2013,4,3,Lazarina,3/29/2016,1/30/2013,3,3,11997,0
Methods in Ecology and Evolution,7.393,2013,4,3,Burthe et al,3/29/2016,12/12/2012,12,9,33771,0
Methods in Ecology and Evolution,7.393,2013,4,2,Nadrowski et al,3/29/2016,12/23/2012,7,7,20270,0
Methods in Ecology and Evolution,7.393,2013,4,2,Hamblin et al,3/29/2016,11/16/2012,20,18,36070,0
Methods in Ecology and Evolution,7.393,2013,4,2,Ponchon et al,3/29/2016,11/16/2012,4,4,31466,0
Methods in Ecology and Evolution,7.393,2013,4,1,Keil et al,3/29/2016,11/27/2011,5,5,11391,0
Methods in Ecology and Evolution,7.393,2013,4,1,Marsh and Ewers,3/29/2016,10/16/2011,8,8,14931,0
Methods in Ecology and Evolution,7.393,2013,4,1,Shielzeth and Nakagawa,3/29/2016,10/15/2011,11,10,23601,0
Methods in Ecology and Evolution,7.393,2012,3,6,Oswald et al,3/29/2016,8/10/2012,2,2,4766,0
Methods in Ecology and Evolution,7.393,2012,3,6,Conn et al.,3/29/2016,9/13/2012,3,3,12375,0
Methods in Ecology and Evolution,7.393,2012,3,6,Bodeci et al,3/29/2016,7/24/2012,2,2,7862,0
Methods in Ecology and Evolution,7.393,2012,3,5,Franks et al,3/29/2016,1/12/2012,0,0,0,0
Methods in Ecology and Evolution,7.393,2012,3,5,Harder et al,3/29/2016,12/16/2011,0,0,0,0
Methods in Ecology and Evolution,7.393,2012,3,5,Hoch et al,3/29/2016,1/11/2011,3,3,2046,0
Methods in Ecology and Evolution,7.393,2012,3,4,Bergman and Irsick,3/29/2016,11/6/2011,3,3,1314,0
Methods in Ecology and Evolution,7.393,2012,3,4,Beck et al,3/29/2016,12/8/2011,0,0,0,0
Methods in Ecology and Evolution,7.393,2012,3,4,Perrin,3/29/2016,12/1/2011,1,1,985,0
Methods in Ecology and Evolution,7.393,2012,3,3,Li et al,3/29/2016,12/16/2011,0,0,0,0
Methods in Ecology and Evolution,7.393,2012,3,3,Wu,3/29/2016,11/2/2011,1,1,197,0
Methods in Ecology and Evolution,7.393,2012,3,3,Tschirren,3/29/2016,10/21/2011,0,0,0,0
Methods in Ecology and Evolution,7.393,2012,3,2,Kaeufer et al,3/29/2016,11/27/2011,0,0,0,0
Methods in Ecology and Evolution,7.393,2012,3,2,Lloyd et AL,3/29/2016,10/9/2011,1,1,770,0
Methods in Ecology and Evolution,7.393,2012,3,2,Fusco et al,3/29/2016,9/20/2011,1,1,226,0
Methods in Ecology and Evolution,7.393,2012,3,1,Mueler and Cabral,3/29/2016,9/13/2011,1,1,4299,0
Methods in Ecology and Evolution,7.393,2012,3,1,Woerden et al,3/29/2016,9/13/2011,1,1,1204,0
Methods in Ecology and Evolution,7.393,2012,3,1,Augiere and Marshal,3/29/2016,8/13/2011,1,1,371,0
Journal of Biogeography,4.59,2014,41,12,Bishop et al.,4/4/2016,6/24/2014,12,12,11858,8
Journal of Biogeography,4.59,2014,41,12,Ulrich et al.,4/4/2016,7/21/2014,7,6,2787,4
Journal of Biogeography,4.59,2014,41,12,Fayolle et al.,4/4/2016,7/23/2014,1,1,408,3
Journal of Biogeography,4.59,2014,41,11,Dixon et al.,4/4/2016,8/8/2014,14,12,44265,19
Journal of Biogeography,4.59,2014,41,11,Tapper et al.,4/4/2016,5/16/2014,1,1,1801,4
Journal of Biogeography,4.59,2014,41,11,Hardion et al.,4/4/2016,6/29/2014,0,0,0,1
Journal of Biogeography,4.59,2014,41,10,Zheng et al.,4/4/2016,6/27/2014,0,0,0,2
Journal of Biogeography,4.59,2014,41,10,Kougioumoutzis et al.,4/4/2016,5/14/2014,0,0,0,4
Journal of Biogeography,4.59,2014,41,10,Puppo et al.,4/4/2016,6/18/2014,0,0,0,2
Journal of Biogeography,4.59,2014,41,9,Lira-Noriega et al.,4/4/2016,3/27/2014,0,0,0,3
Journal of Biogeography,4.59,2014,41,9,Sun et al.,4/4/2016,5/9/2014,0,0,0,2
Journal of Biogeography,4.59,2014,41,9,Kennedy et al.,4/4/2016,5/29/2014,5,5,5394,4
Journal of Biogeography,4.59,2014,41,8,Lawes et al.,4/4/2016,2/19/2014,0,0,0,6
Journal of Biogeography,4.59,2014,41,8,Giarla and Jansa,4/4/2016,4/16/2014,4,4,1803,3
Journal of Biogeography,4.59,2014,41,8,Spalik et al.,4/4/2016,3/19/2014,0,0,0,0
Journal of Biogeography,4.59,2014,41,7,Rijsdijk et al.,4/4/2016,5/22/2014,6,4,5321,9
Journal of Biogeography,4.59,2014,41,7,Saupe et al.,4/4/2016,3/7/2014,5,5,37108,7
Journal of Biogeography,4.59,2014,41,7,Radford et al.,4/4/2016,3/5/2014,0,0,0,1
Journal of Biogeography,4.59,2014,41,6,Giladi et al.,4/4/2016,3/27/2014,2,2,2714,2
Journal of Biogeography,4.59,2014,41,6,Guest and Allen,4/4/2016,1/31/2014,0,0,0,6
Journal of Biogeography,4.59,2014,41,6,Mathieu and Davies,4/4/2016,2/15/2014,3,3,11899,2
Journal of Biogeography,4.59,2014,41,5,Morrone,4/4/2016,12/29/2013,4,4,5860,13
Journal of Biogeography,4.59,2014,41,5,Guedes et al.,4/4/2016,1/29/2014,3,3,634,5
Journal of Biogeography,4.59,2014,41,5,Goulding and Cohen,4/4/2016,1/15/2014,2,1,301,0
Journal of Biogeography,4.59,2014,41,4,Evangelista de Lima et al.,4/4/2016,1/7/2014,1,1,266,8
Journal of Biogeography,4.59,2014,41,4,Eme et al.,4/4/2016,12/4/2013,6,6,4521,4
Journal of Biogeography,4.59,2014,41,4,Gerick et al.,4/4/2016,1/23/2014,6,5,3754,9
Journal of Biogeography,4.59,2014,41,3,Cahill et al.,4/4/2016,11/29/2013,5,5,6577,15
Journal of Biogeography,4.59,2014,41,3,Werenkraut and Ruggiero,4/4/2016,10/13/2013,1,1,3895,0
Journal of Biogeography,4.59,2014,41,3,Inda et al.,4/4/2016,11/6/2013,0,0,0,4
